run_timestamp,experiment_id,model,area,history_or_lags,train_period,validation_period,test_period,evaluated_on,parameters,MAE,RMSE,MAPE,training_time_seconds,inference_time_seconds,observation,next_decision
2026-09-09 22:33:14+0200,LSTM-A3,LSTM (PyTorch),5059,"seq_len=144, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,95.0906492489864,136.18863857706788,8.580626673851969,35.43317579990253,0.0333337001502513,epochs=21 best_epoch=11 best_val_loss=0.020267 train_samples=5328,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A3,LSTM (PyTorch),5259,"seq_len=144, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,75.79583360602163,109.52065048622346,7.123481365427285,76.89708059979603,0.0340623999945819,epochs=46 best_epoch=36 best_val_loss=0.009574 train_samples=5328,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B1,LSTM (PyTorch),5161,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,104.63354195668892,154.91003043164923,9.08704867161924,21.01388810016215,0.0095998998731374,epochs=35 best_epoch=25 best_val_loss=0.012426 train_samples=5436,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B1,LSTM (PyTorch),5059,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,93.12569983957182,133.46003624273797,8.104472261622785,15.348832899704576,0.0103899999521672,epochs=25 best_epoch=15 best_val_loss=0.019463 train_samples=5436,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B1,LSTM (PyTorch),5259,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,76.21857273588438,109.2193414168516,7.041865740039978,26.20478639984504,0.0113220000639557,epochs=34 best_epoch=24 best_val_loss=0.009522 train_samples=5436,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B2,LSTM (PyTorch),5161,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,17217,108.88037603849769,157.2536288282446,10.057706384389537,25.362723799888045,0.021595699712634,epochs=25 best_epoch=15 best_val_loss=0.012804 train_samples=5436,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B2,LSTM (PyTorch),5059,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,17217,89.52728740658218,130.3864466956423,7.465507521427243,20.57214299961925,0.0261187003925442,epochs=25 best_epoch=15 best_val_loss=0.018577 train_samples=5436,select on mean validation MAE
2026-09-09 22:36:12+0200,LSTM-B2,LSTM (PyTorch),5259,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,17217,74.69949254295456,106.50518707855908,6.965302160556821,51.36893849959597,0.020664700306952,epochs=61 best_epoch=51 best_val_loss=0.009054 train_samples=5436,select on mean validation MAE
2026-09-09 22:41:36+0200,LSTM-FINAL,LSTM (PyTorch),5161,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,17217,86.3797657693731,127.08216980311194,9.753816083094916,16.79962639976293,0.0178445000201463,epochs=25 best_epoch=15 best_val_loss=0.012804 train_samples=5436,frozen; compare with AR and baselines
2026-09-09 22:41:36+0200,LSTM-FINAL,LSTM (PyTorch),5059,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,17217,69.79515720275091,100.8254444964204,6.981681009843705,20.08088370040059,0.0220417999662458,epochs=25 best_epoch=15 best_val_loss=0.018577 train_samples=5436,frozen; compare with AR and baselines
2026-09-09 22:41:36+0200,LSTM-FINAL,LSTM (PyTorch),5259,"seq_len=36, hidden=64, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,17217,67.84736230478822,97.23189633029642,7.520152564032134,50.32854579994455,0.0197867997922003,epochs=61 best_epoch=51 best_val_loss=0.009054 train_samples=5436,frozen; compare with AR and baselines
2026-09-09 23:06:33+0200,TCN-A1,TCN (PyTorch),5161,"seq_len=36, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,108.75704246227386,153.18066713465467,10.894028391969918,63.77336229989305,0.0457668998278677,epochs=23 best_epoch=13 best_val_loss=0.012150 train_samples=5436,select on mean validation MAE
